                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.2461,                 1.7156,                 1.5757,                0.52185,                0.44583,                0.42698,                0.37002,                 1.8864,                 2.4634,                 1.9664,             0.00052359,             0.00052359,             0.00052359
                     35,                 1.2769,                 1.7749,                 1.6036,                0.55091,                0.43574,                0.42595,                0.36648,                 1.9223,                 2.5026,                 1.9796,             0.00049529,             0.00049529,             0.00049529
                     36,                 1.2618,                 1.7515,                 1.5725,                0.48077,                0.42083,                0.41628,                0.35554,                 1.9507,                 2.5843,                 1.9926,               0.000467,               0.000467,               0.000467
                     37,                 1.3237,                 1.7731,                 1.6126,                0.44947,                0.41042,                0.41915,                0.35453,                 1.9577,                 2.5783,                 1.9896,              0.0004387,              0.0004387,              0.0004387
                     38,                 1.2631,                 1.6954,                 1.5774,                0.42907,                0.44375,                0.42028,                0.36106,                 1.9694,                 2.5607,                 1.9771,             0.00041041,             0.00041041,             0.00041041
                     39,                 1.2716,                 1.6522,                 1.5771,                0.44032,                0.47867,                0.43164,                0.36589,                 1.9565,                 2.4967,                 1.9769,             0.00038211,             0.00038211,             0.00038211
                     40,                 1.1554,                 1.6038,                 1.4692,                0.47579,                0.47263,                0.44046,                0.37124,                 1.9322,                 2.4792,                 1.9754,             0.00035382,             0.00035382,             0.00035382
                     41,                 1.4869,                 2.2738,                 1.7415,                0.47528,                 0.4625,                0.43927,                0.37123,                 1.9098,                 2.5288,                 1.9702,             0.00032553,             0.00032553,             0.00032553
                     42,                  1.374,                   2.06,                  1.685,                 0.4771,                0.44811,                0.43012,                0.36482,                 1.8912,                 2.6877,                 1.9902,             0.00029723,             0.00029723,             0.00029723
                     43,                 1.4895,                 2.0795,                 1.7691,                0.46066,                0.42708,                0.42061,                 0.3664,                 1.9297,                 2.7479,                 2.0064,             0.00026894,             0.00026894,             0.00026894
                     44,                 1.4289,                 2.0209,                  1.714,                0.46345,                0.41667,                0.41764,                0.36509,                 1.9501,                 2.6842,                 1.9908,             0.00024064,             0.00024064,             0.00024064
                     45,                 1.4532,                 2.0768,                 1.7213,                0.50159,                0.43054,                0.42512,                0.36867,                 1.9447,                 2.6196,                 1.9542,             0.00021235,             0.00021235,             0.00021235
                     46,                 1.3871,                 1.9424,                 1.6718,                0.47374,                0.43542,                0.43984,                0.37486,                 1.9496,                 2.5572,                 1.9351,             0.00018406,             0.00018406,             0.00018406
                     47,                 1.3992,                 1.9806,                 1.6932,                0.44511,                0.43542,                  0.442,                 0.3713,                 1.9548,                 2.5496,                 1.9364,             0.00015576,             0.00015576,             0.00015576
                     48,                   1.45,                 2.0102,                 1.7601,                 0.4414,                0.46667,                0.44087,                0.37192,                  1.947,                 2.5331,                 1.9408,             0.00012747,             0.00012747,             0.00012747
                     49,                 1.3937,                 1.8801,                 1.6694,                0.45227,                0.47739,                0.43911,                0.37043,                 1.9373,                  2.527,                 1.9327,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     50,                 1.3789,                 1.8365,                 1.7049,                0.41192,                0.47083,                0.43625,                0.36987,                 1.9379,                 2.5234,                 1.9458,             7.0878e-05,             7.0878e-05,             7.0878e-05
