                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.3448,                 1.5628,                 1.4931,                0.63458,                0.61298,                0.64621,                0.41115,                 1.7836,                 1.9204,                 1.8786,             0.00052359,             0.00052359,             0.00052359
                     35,                 1.3389,                 1.5358,                 1.4828,                 0.5374,                 0.6385,                0.60496,                0.39708,                 1.8021,                 1.9583,                 1.9378,             0.00049529,             0.00049529,             0.00049529
                     36,                  1.334,                 1.5647,                 1.4904,                0.62344,                0.61674,                0.63589,                0.39922,                 1.8012,                 1.8669,                 1.9243,               0.000467,               0.000467,               0.000467
                     37,                 1.2755,                 1.4929,                 1.4501,                0.60531,                0.64832,                 0.6314,                0.38798,                 1.7945,                 1.9044,                 1.9199,              0.0004387,              0.0004387,              0.0004387
                     38,                 1.3293,                 1.5424,                 1.5035,                0.68032,                0.60548,                0.62637,                0.37913,                 1.7988,                 1.9873,                 1.9582,             0.00041041,             0.00041041,             0.00041041
                     39,                 1.2569,                  1.487,                 1.4723,                0.61055,                0.62892,                0.61396,                0.38539,                 1.7888,                 1.9705,                 1.9538,             0.00038211,             0.00038211,             0.00038211
                     40,                  1.246,                 1.4608,                 1.4603,                0.62471,                0.62626,                0.61929,                0.40731,                  1.714,                 1.9304,                 1.8801,             0.00035382,             0.00035382,             0.00035382
                     41,                 1.3305,                 1.7048,                 1.4986,                0.57812,                0.64141,                0.62414,                0.41107,                 1.7051,                  1.954,                 1.8778,             0.00032553,             0.00032553,             0.00032553
                     42,                 1.2768,                 1.5324,                 1.4534,                0.57125,                0.62203,                0.62585,                0.41154,                 1.7135,                 2.0032,                 1.8707,             0.00029723,             0.00029723,             0.00029723
                     43,                 1.1985,                 1.5669,                 1.4212,                0.67351,                0.62047,                0.63547,                 0.4242,                 1.7203,                 1.9982,                 1.8677,             0.00026894,             0.00026894,             0.00026894
                     44,                 1.2837,                 1.6615,                 1.4715,                 0.7138,                0.63869,                0.64011,                0.41837,                 1.7371,                 1.9834,                 1.8791,             0.00024064,             0.00024064,             0.00024064
                     45,                 1.2866,                 1.5997,                 1.4844,                0.70844,                0.63015,                0.64018,                0.42123,                  1.739,                 1.9493,                 1.8713,             0.00021235,             0.00021235,             0.00021235
                     46,                 1.2244,                 1.4776,                 1.4411,                0.75513,                 0.6216,                 0.6737,                0.43298,                  1.734,                 1.8755,                 1.8592,             0.00018406,             0.00018406,             0.00018406
                     47,                 1.1878,                 1.4549,                 1.3786,                0.70591,                0.63772,                0.68157,                0.44132,                 1.7226,                 1.8373,                 1.8342,             0.00015576,             0.00015576,             0.00015576
                     48,                 1.2227,                 1.5442,                 1.4591,                 0.6626,                 0.6756,                0.67505,                0.44433,                 1.7307,                 1.8431,                  1.842,             0.00012747,             0.00012747,             0.00012747
                     49,                 1.2235,                 1.4203,                 1.3996,                0.68598,                0.68352,                0.68186,                 0.4436,                 1.7265,                 1.8401,                 1.8499,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     50,                 1.2397,                 1.4453,                  1.463,                0.66672,                0.64521,                0.67475,                0.44036,                 1.7211,                 1.8265,                 1.8506,             7.0878e-05,             7.0878e-05,             7.0878e-05
