                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.5482,                 1.3832,                 1.3963,                0.51795,                0.60801,                0.55145,                0.37053,                 1.9974,                  2.172,                 1.7532,             0.00052359,             0.00052359,             0.00052359
                     35,                 1.5778,                  1.354,                 1.4136,                0.49307,                0.57889,                0.51287,                0.37349,                 1.9958,                 2.1802,                 1.7624,             0.00049529,             0.00049529,             0.00049529
                     36,                   1.62,                 1.3577,                 1.4306,                0.59856,                0.57835,                0.55625,                 0.3916,                 1.9912,                  1.975,                 1.7315,               0.000467,               0.000467,               0.000467
                     37,                 1.5273,                 1.3176,                 1.3797,                0.59593,                 0.6026,                0.57263,                0.38615,                 1.9936,                 1.9359,                  1.743,              0.0004387,              0.0004387,              0.0004387
                     38,                 1.5763,                 1.3785,                 1.4159,                 0.5373,                0.62485,                0.57236,                0.38679,                 2.0265,                 2.0199,                 1.7885,             0.00041041,             0.00041041,             0.00041041
                     39,                 1.5328,                 1.2922,                 1.3814,                0.64929,                0.57927,                0.60414,                0.38075,                 2.0445,                 1.9195,                 1.7886,             0.00038211,             0.00038211,             0.00038211
                     40,                 1.4943,                 1.3421,                  1.395,                0.63891,                0.63459,                0.63249,                0.39595,                 2.0294,                  1.845,                 1.7627,             0.00035382,             0.00035382,             0.00035382
                     41,                 1.5558,                 1.4473,                 1.4278,                0.72164,                0.58132,                0.63543,                0.40506,                 2.0075,                 1.8388,                 1.7464,             0.00032553,             0.00032553,             0.00032553
                     42,                 1.5321,                 1.3382,                 1.3761,                0.72917,                0.58956,                0.63856,                0.41628,                 2.0169,                 1.8495,                 1.7351,             0.00029723,             0.00029723,             0.00029723
                     43,                 1.5331,                 1.2992,                 1.3545,                0.64261,                0.64949,                0.65546,                0.41545,                   2.02,                 1.8372,                 1.7148,             0.00026894,             0.00026894,             0.00026894
                     44,                 1.5115,                 1.4049,                 1.3779,                0.62199,                0.64805,                0.65759,                0.40869,                  2.026,                 1.8351,                 1.7301,             0.00024064,             0.00024064,             0.00024064
                     45,                  1.527,                 1.4114,                  1.398,                 0.6093,                0.66988,                0.65678,                0.40414,                 2.0331,                  1.851,                 1.7462,             0.00021235,             0.00021235,             0.00021235
                     46,                 1.4712,                 1.2738,                   1.33,                0.67955,                0.61327,                0.65319,                 0.4034,                 2.0308,                 1.8554,                 1.7697,             0.00018406,             0.00018406,             0.00018406
                     47,                 1.4994,                 1.2961,                 1.3193,                0.60362,                 0.6982,                0.66016,                 0.4116,                 2.0275,                 1.8055,                 1.7611,             0.00015576,             0.00015576,             0.00015576
                     48,                 1.4655,                  1.244,                 1.3433,                0.61203,                 0.7093,                0.65028,                0.41208,                 2.0195,                 1.7846,                 1.7522,             0.00012747,             0.00012747,             0.00012747
                     49,                 1.4623,                 1.2458,                 1.3215,                0.61349,                 0.7093,                0.64822,                0.40937,                 2.0164,                 1.7782,                  1.749,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     50,                 1.4642,                 1.2221,                 1.3504,                0.60158,                0.71645,                0.64832,                0.40889,                  2.017,                  1.788,                 1.7497,             7.0878e-05,             7.0878e-05,             7.0878e-05
