                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.6558,                 1.5766,                  1.462,                0.64601,                0.67638,                0.65772,                0.37217,                 2.0947,                 2.1267,                  1.902,             0.00052359,             0.00052359,             0.00052359
                     35,                 1.6039,                 1.4394,                 1.4362,                0.61136,                0.66471,                0.62173,                0.34907,                 2.0954,                 2.1304,                 1.9366,             0.00049529,             0.00049529,             0.00049529
                     36,                 1.5904,                 1.5366,                 1.4624,                0.64092,                0.70045,                0.64102,                0.36068,                 2.1165,                 2.1226,                 1.9681,               0.000467,               0.000467,               0.000467
                     37,                 1.5142,                 1.4882,                 1.4529,                0.65663,                 0.6947,                0.65136,                0.36279,                 2.1346,                 2.1042,                 1.9607,              0.0004387,              0.0004387,              0.0004387
                     38,                 1.5616,                 1.5046,                 1.4587,                0.61014,                0.65848,                0.67619,                0.38066,                 2.0423,                 2.0302,                 1.8715,             0.00041041,             0.00041041,             0.00041041
                     39,                 1.5229,                 1.3909,                 1.4152,                 0.6625,                0.68626,                0.70567,                0.39411,                 2.0053,                 1.9028,                 1.7792,             0.00038211,             0.00038211,             0.00038211
                     40,                 1.5591,                 1.4251,                 1.4586,                0.67176,                0.69848,                0.71467,                0.38177,                 2.0566,                 1.9325,                 1.8311,             0.00035382,             0.00035382,             0.00035382
                     41,                 1.5668,                 1.6877,                 1.4581,                0.60754,                0.69691,                0.69158,                 0.3731,                 2.1066,                 2.0059,                 1.8747,             0.00032553,             0.00032553,             0.00032553
                     42,                 1.5483,                 1.5028,                 1.4386,                0.60781,                0.69894,                0.68709,                0.36925,                 2.1401,                 2.0972,                 1.9087,             0.00029723,             0.00029723,             0.00029723
                     43,                 1.5012,                 1.4778,                 1.3862,                0.59681,                0.70271,                0.69651,                0.38022,                 2.0926,                 2.1023,                 1.8701,             0.00026894,             0.00026894,             0.00026894
                     44,                 1.5562,                 1.5807,                 1.4625,                0.67521,                 0.6812,                0.69956,                0.38337,                 2.0618,                 2.0681,                 1.8617,             0.00024064,             0.00024064,             0.00024064
                     45,                 1.5296,                 1.5438,                 1.4427,                 0.6885,                 0.6868,                 0.7032,                0.38298,                 2.0561,                 2.0535,                 1.8603,             0.00021235,             0.00021235,             0.00021235
                     46,                 1.5013,                 1.4897,                 1.4503,                0.68583,                0.68067,                0.70968,                0.39088,                 2.0865,                  2.035,                 1.8826,             0.00018406,             0.00018406,             0.00018406
                     47,                 1.4541,                 1.4117,                 1.3615,                0.70709,                0.68313,                0.71077,                0.37526,                 2.1303,                 2.0166,                  1.906,             0.00015576,             0.00015576,             0.00015576
                     48,                 1.4641,                 1.3881,                 1.4097,                0.70815,                0.68712,                0.71702,                0.37201,                  2.134,                 1.9759,                 1.9096,             0.00012747,             0.00012747,             0.00012747
                     49,                 1.4663,                 1.4148,                 1.3614,                 0.6895,                0.71182,                0.72179,                0.37794,                 2.1371,                 1.9748,                 1.9063,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     50,                 1.4553,                 1.3844,                 1.3883,                0.72019,                0.67758,                0.72208,                0.37238,                 2.1354,                 1.9667,                  1.897,             7.0878e-05,             7.0878e-05,             7.0878e-05
